name	abolished
Not known where records kept (district abolished before 1929)	*0*
Colwyn	*1*
Dyffryn and Conwy	*1*
Gosport	*2*
Flintshire East	*3*
Preston	*4*
South Ribble	*4*
Ynys Mon	*5*
Oldham	*6*
Tameside	*6*
Ashton	*7*
Carlisle	*8*
Deben	*9*
Gipping & Hartismere	*9*
Ipswich	*9*
Bridlington	*10*
Ryedale	*10*
Scarborough	*10*
Bradford	*11*
Halifax	*11*
Southwark	*12*
Northumberland Central	*13*
Northumberland South	*13*
Grimsby	*14*
Northallerton	*15*
Redcar & Cleveland	*15*
Dyffryn Conwy	*16*
Bury St. Edmunds	*17*
Sudbury	*17*
Exeter	*18*
Honiton	*18*
Tiverton	*18*
Merioneth North	*19*
Merioneth South	*19*
Barnsley	*20*
Doncaster	*20*
Uttlesford	*21*
Cleveland Central	*22*
Cleveland North	*22*
Durham Northern	*22*
Durham Western	*22*
Gateshead	*23*
Jarrow	*23*
South Shields	*23*
Durham Northern	*24*
Gateshead	*24*
Merthyr Tydfil	*25*
Pontypridd	*25*
South Glamorgan	*25*
Worthing	*26*
Plymouth	*27*
Bracknell	*28*
Kendal	*29*
Penrith	*29*
Chesterfield	*30*
Sheffield	*30*
Redbridge	*31*
Waltham Forest	*31*
North Yorkshire	*32*
King's Lynn	*33*
Scunthorpe	*34*
Northumberland North First	*35*
Denbighshire South	*36*
North East Lincolnshire	*37*
Great Yarmouth	*38*
Norwich	*38*
Colwyn	*39*
Dyffryn and Conwy	*39*
Glyndwr	*39*
Carmarthen	*40*
Leeds	*41*
Wakefield	*41*
Gravesend	*42*
Maidstone	*42*
Tunbridge Wells	*42*
Ardudwy	*43*
De Meirionnwydd	*43*
Merioneth East	*43*
Merioneth North	*43*
Merioneth South	*43*
Penllyn	*43*
Hounslow	*44*
Richmond-upon-Thames	*44*
Surrey Northern	*44*
East Dereham	*45*
Northumberland Central	*46*
Chester & Ellesmere Port	*47*
South Cheshire	*47*
Cannock Chase	*48*
Wrekin	*48*
Bradford	*49*
Dewsbury	*49*
Leeds	*49*
Wharfedale	*49*
Milton Keynes	*50*
Hartlepool	*51*
Macclesfield	*52*
Stockport	*52*
Fenland	*53*
March	*53*
North Tyneside	*54*
Bridgend	*55*
Pontypridd	*55*
South Glamorgan	*55*
Sandwell	*56*
Stourbridge	*56*
Deben	*57*
Gipping	*57*
Hartismere	*57*
Mid Powys	*58*
Braintree	*59*
Bury St. Edmunds	*59*
Richmond	*60*
Barking	*61*
Havering	*61*
Redbridge	*61*
Ashford	*62*
Rotherham	*63*
Norwich	*64*
Westminster	*65*
Southwark	*66*
Islington	*67*
Kensington & Chelsea	*68*
Hackney	*69*
Ipswich	*70*
North Lincolnshire	*71*
Cardiff	*72*
Vale of Glamorgan	*72*
Dewsbury	*73*
Leeds	*73*
Cleveland	*74*
Durham Northern	*74*
Durham Western	*74*
Bury St. Edmunds	*75*
Gipping & Hartismere	*75*
Merton	*76*
Sutton	*76*
Huddersfield	*77*
Durham Western	*78*
Bridgnorth	*79*
Chester	*80*
Ellesmere Port	*80*
Neath	*81*
Pontypridd	*81*
Swansea	*81*
Chichester	*82*
Kendal	*83*
Penrith	*83*
Rushcliffe	*84*
Flintshire	*85*
Penrith	*86*
Bristol	*87*
Chipping Sodbury	*87*
Thornbury	*87*
West Surrey	*88*
Mid Surrey	*89*
Kingston-upon-Thames	*90*
North Surrey	*90*
Richmond-upon-Thames	*90*
South-East Surrey	*91*
West Surrey	*91*
North Surrey	*92*
Barnsley	*93*
Hemsworth	*93*
Sheffield	*93*
Wakefield	*93*
Wortley	*93*
Denbighshire	*94*
Bexley	*95*
Bromley	*95*
Salisbury	*96*
Blyth	*97*
Lothingland	*97*
Wainford	*97*
Millom	*98*
Whitehaven	*98*
Tadcaster	*99*
Wetherby	*99*
London City	*100*
Depwade	*101*
Thetford	*101*
Wayland	*101*
Strood	*102*
Originally Foleshill & Sowe .Sowe Later a sub-district of Foleshill	*103*
Devonport	*104*
Burt St Edmunds	*105*
London City	*106*
Barton Upon Irwell	*107*
