Registration District	Sept 1837 to 1851	1852 to June 1946	Sept 1946 to March 1965	June 1965 to March 1974	June 1974 to Dec 1992	Mar 1993 to Dec 1996	1997 to 2001
Aberayron	27	11B	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	815
Aberconwy	CREATED 1975	CREATED 1975	CREATED 1975	CREATED 1975	25	25	25
Abergavenny	26	11A	8C	8C	28	55	839
Aberystwith	27	11B	8A	8A	24	54	816
Abingdon	6	2C	6A	6A	20	44	695
Acle	CREATED 1939	4B	4B	4B	ABOLISHED 1974	ABOLISHED 1974	639
Alcester	16	6D	9C	9C	31	50	773
Alderbury	8	5A	ABOLISHED 1895	ABOLISHED 1895	ABOLISHED1895	ABOLISHED1895	*96*
Aldershot	CREATED 1932	2C	6B	ABOLISHED 1974	ABOLISHED 1974	ABOLISHED 1974	495
Aldridge & Brownhills	CREATED 1966	CREATED 1966	CREATED 1966	9B	ABOLISHED 1974	ABOLISHED1974	75
Aled	CREATED 1935	11B	8A	8A	ABOLISHED 1974	ABOLISHED 1974	*1*
Alnwick	25	10B	1B	1B	1	42	679
Alresford	7	2C	6B	6B	20	32	502
Alston (Penrith)	25	10B	1A	1A	ABOLISHED 1974	ABOLISHED 1974	*86*
Alton	7	2C	6B	6B	20	32	489
Altrincham	19	8A	ABOLISHED 1898	ABOLISHED 1898	ABOLISHED1898	ABOLISHED 1898	15
Alverstoke	7	2B	ABOLISHED 1932	ABOLISHED 1932	ABOLISHED 1932	ABOLISHED 1932	*2*
Alyn & Deeside	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	24	53	*3*
Amber Valley	CREATED 1994	CREATED 1994	CREATED 1994	CREATED 1994	CREATED 1994	6	*6*
Amersham	6	3A	6A	6A	ABOLISHED 1974	ABOLISHED 1974	327
Amesbury	8	5A	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	795
Amounderness	CREATED 1935	8E	10B	10B	ABOLISHED 1974	ABOLISHED 1974	*4*
Ampthill (now Bedfordshire)	6	3B	4A	4A	9	9	309
Andover	7	2C	6B	6B	20	32	490
Anglesey	27	11B	ABOLISHED 1937	8A	ABOLISHED 1974	56	25
Anglesey (east and west)	CREATED 1937	11B	8A	ABOLISHED 1969	ABOLISHED1969	ABOLISHED 1969	*5*
Appleby	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	1	ABOLISHED 1984	380
Ardudwy	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	25	56	840
Ardwick	20	8D	10E	10E	38	1	6
Ashbourne	19	7B	3A	3A	6	25	390
Ashby-de-la-Zouche	15	7A	3A	ABOLISHED 1949	ABOLISHED 1949	ABOLISHED 1949	605
Ashford (with Shepway)(Kent)	CREATED 1941	2A	5B	5F	16	36	558
Ashton	CREATED 1937	8D	10B	10B	ABOLISHED 1974	ABOLISHED 1974	*6*
Ashton-under-Lyne	20	8D	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	*7*
Askrigg	24	9D	ABOLISHED 1869	ABOLISHED 1869	ABOLISHED 1869	ABOLISHED 1869	650
Aston	16	6D	ABOLISHED 1924	ABOLISHED 1924	ABOLISHED 1924	ABOLISHED 1924	61
Atcham	18	6A	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	715
Atherstone	16	6D	9C	9C	ABOLISHED 1974	ABOLISHED 1974	767
Auckland	24	10A	ABOLISHED 1938	ABOLISHED 1938	ABOLISHED 1938	ABOLISHED 1938	442
Axbridge	10	5C	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	723
Axminster	10	5B	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	410
Aylesbury	6	3A	6A	6A	19	ABOLISHED 1985	324
Aylesbury (Vale)	CREATED 1985	CREATED 1985	CREATED 1985	CREATED 1985	19	19	324
Aylesham	13	4B	ABOLISHED 1939	ABOLISHED 1939	ABOLISHED 1939	ABOLISHED 1939	639
Aysgarth	CREATED 1869	9D	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	650
Bakewell	19	7B	3A	3A	6	25	391
Bala	27	11B	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	852
Banbury	16	3A	6B	6B	20	44	695
Bangor	27	11B	8A	8A	25	56	841
Barking	CREATED 1965	CREATED 1965	CREATED 1965	5A	11	ABOLISHED 1989	218
Barking (& Dagenham)	CREATED 1989	CREATED 1989	CREATED 1989	CREATED 1989	CREATED 1989	11	218
Barkston Ash (prv Tadcaster)	CREATED 1947	CREATED 1947	2D	2D	ABOLISHED 1974	ABOLISHED 1974	650
Barnet	6	3A	5A	5A	11	11	219
Barnsley	22	9C	2B	2B	3	4	41
Barnstaple	10	5B	7A	7A	21	21	404
Barrow-In-Furness	CREATED 1876	8E	10B	10B	1	24	373
Barrow-on-Soar	15	7A	3A	ABOLISHED 1949	ABOLISHED 1949	ABOLISHED 1949	605
Barton	CREATED 1934	8C	10B	10B	39	ABOLISHED 1980	15
Barton on-Irwell	20	8C	ABOLISHED 1934	ABOLISHED 1934	ABOLISHED 1934	ABOLISHED 1934	15
Barton Regis	CREATED 1877	6A	ABOLISHED 1905	ABOLISHED 1905	ABOLISHED 1905	ABOLISHED 1905	*87*
Basford	15	7B	3C	3C	8	43	689
Basildon (Brentwood)	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	9	ABOLISHED 1974	466
Basingstoke	7	2C	6B	6B	20	32	503
Bath	11	5C	7C	7C	22	ABOLISHED 1996	300
Bath (& North East Somerset)	CREATED 1996	CREATED 1996	CREATED 1996	CREATED 1996	CREATED1996	17	300
Bathavon	CREATED 1936	5C	7C	7C	ABOLISHED 1974	ABOLISHED 1974	300
Battersea	CREATED 1930	1D	5C	ABOLISHED 1965	ABOLISHED 1935	ABOLISHED 1935	256
Battle	7	2B	5H	5H	18	ABOLISHED 1977	456
Beaminster	8	5A	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	432
Bedale	24	9D	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	650
Bedford	6	3B	4A	4A	9	17	309
Bedfordshire	CREATED 1999	CREATED 1999	CREATED 1999	CREATED 1999	CREATED 1999	CREATED 1999	9
Bedminster	11	5C	ABOLISHED 1899	ABOLISHED 1899	ABOLISHED 1899	ABOLISHED 1899	301
Bedwelty (or Bedwellty)	CREATED 1861	11A	8C	8C	ABOLISHED 1974	ABOLISHED 1974	863
Belford	25	10B	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	678
Bellingham	25	10B	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	680
Belper	19	7B	3A	3A	6	6	392
Berkhamstead	6	3A	4B	4B	ABOLISHED 1974	ABOLISHED 1974	530
Bermondsey (orig St Mary Magdalen)	4	1D	ABOLISHED 1870	ABOLISHED1870	ABOLISHED 1870	ABOLISHED 1870	251
Bermondsey	CREATED 1913	1D	5C	ABOLISHED 1965	ABOLISHED 1965	ABOLISHED 1965	251
Berwick-on-Tweed	25	10B	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	678
Bethnal Green (Poplar & _)	2	1C	5C	5D	14	15	246
Beverley (East Riding of Yorks)	23	9D	ABOLISHED 1937	CREATED 1974	7	35	542
Bexley	CREATED 1965	CREATED 1965	5A	5A	11	11	220
Bicester	16	3A	ABOLISHED 1932	ABOLISHED 1932	ABOLISHED 1932	ABOLISHED 1932	695
Bideford	10	5B	7A	7A	21	26	405
Biggleswade (now Beds)	6	3B	4A	4A	9	17	309
Billericay	12	4A	ABOLISHED 1939	ABOLISHED 1939	ABOLISHED 1939	ABOLISHED 1939	466
Billesdon	15	7A	3A	ABOLISHED 1949	ABOLISHED 1949	ABOLISHED 1949	605
Bilston	CREATED 1935	6B	9B	ABOLISHED 1966	ABOLISHED 1966	ABOLISHED 1966	77
Bingham	15	7B	3C	ABOLISHED 1974	ABOLISHED 1974	ABOLISHED 1974	690
Birkenhead	CREATED 1861	8A	10A	10A	37	3	37
Birmingham (North & South)	CREATED 1924	6D	ABOLISHED 1932	ABOLISHED 1932	ABOLISHED 1932	ABOLISHED1932	61
Birmingham	16	6D	9C	9C	32	6	61
Bishop Gate	2	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	243
Bishops Stortford	6	3A	4B	4B	10	34	528
Blaby	15	7A	3A	ABOLISHED 1949	ABOLISHED 1949	ABOLISHED 1949	605
Blackburn	21	8E	10B	10B	40	40	40
Blackburn (with Darwen)	CREATED 1998	CREATED 1998	CREATED 1998	CREATED 1998	CREATED 1998	CREATED 1998	580
Blackpool	CREATED 1936	8E	10B	10B	ABOLISHED 1974	ABOLISHED 1974	581
Blackpool (& Fylde)	CREATED 1974	CREATED 1974	CREATED 1974	40	40	37	581
Blaenau Gwent	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	28	55	833
Blandford	8	5A	6A	ABOLISHED 1956	ABOLISHED 1956	ABOLISHED 1956	430
Blean	5	2A	ABOLISHED 1941	ABOLISHED 1941	ABOLISHED 1941	ABOLISHED 1941	560
Blofield	13	4B	ABOLISHED 1939	ABOLISHED1 939	ABOLISHED 1939	ABOLISHED 1939	639
Bloomsbury	1	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	250
Blyth	CREATED 1935	4A	4B	4B	10	42	753
Blything	13	4A	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	*97*
Bodmin	9	5C	7A	7A	21	23	354
Bolton	21	8C	10B	10B	38	1	2
Bootle (Cul)	25	10B	ABOLISHED 1939	ABOLISHED 1939	ABOLISHED 1939	ABOLISHED 1939	*98*
Bootle (Lan)	CREATED 1934	8C	10B	10B	37	3	32
Border	CREATED 1937	10B	1A	1A	ABOLISHED 1974	ABOLISHED 1974	*8*
Bosmere	12	4A	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	*9*
Boston (now Lincolnshire)	14	7A	3B	3B	7	39	610
Bourne & South Kesteven	CREATED 1934	7A	3B	3B	ABOLISHED 1974	ABOLISHED 1974	611
Bourne	14	7A	ABOLISHED 1935	ABOLISHED 1935	7	39	611
Bournemouth	CREATED 1932	2B	6B	6B	23	27	427
Bournemouth & Christchurch	CREATED 1919	2B	ABOLISHED1932	ABOLISHED 1932	ABOLISHED 1932	ABOLISHED 1932	427
Brackley	15	3B	3B	3B	7	42	672
Bracknell	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	19	19	318
Bracknell (_ Forest)	CREATED 1998	CREATED 1998	CREATED 1998	CREATED 1998	CREATED 1998	CREATED 1998	318
Bradfield	6	2C	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	319
Bradford	23	9B	2B	2B	4	9	81
Bradford-on-Avon	8	5A	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	797
Braintree	12	4A	4A	4A	9	30	465
Bramham	CREATED 1862	9C	ABOLISHED 1869	ABOLISHED 1869	ABOLISHED 1869	ABOLISHED 1869	*99*
Bramley	CREATED 1863	9B	ABOLISHED 1929	ABOLISHED 1929	ABOLISHED 1929	ABOLISHED 1929	*92*
Brampton (Carlisle)	25	10B	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	375
Brecknock	26	11B	8A	8A	26	58	866
Brent (Willesden)	CREATED 1965	CREATED 1965	CREATED 1965	5A	11	11	221
Brentford	3	3A	5E	ABOLISHED 1947	ABOLISHED 1947	ABOLISHED 1947	237
Brentwood	CREATED 1939	4A	4A	4A	9	30	466
Bridge (Canterbury)	5	2A	5B	5F	ABOLISHED 1974	ABOLISHED 1974	560
Bridgend & Cowbridge	26	11A	8B	8B	ABOLISHED 1970	ABOLISHED 1970	817
Bridgend (1996 - from Ogwr)	CREATED 1996	CREATED 1996	CREATED 1996	CREATED 1996	CREATED 1996	27	817
Bridgnorth	18	6A	9A	9A	30	45	710
Bridgwater	10	5C	7C	7C	ABOLISHED 1974	ABOLISHED 1974	723
Bridlington (East Riding Yorks)	23	9D	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	544
Bridlington (Hum)	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	7	35	544
Bridport	8	5A	6A	7C	23	27	432
Brighton (early-Brighthelmston)	7	2B	5H	5H	18	29	452
Brightford	3	3A	-	-	-	-	*0*
Brighton (_ & Hove)	CREATED 1998	CREATED 1998	CREATED 1998	CREATED 1998	CREATED 1998	29	452
Bristol	11	6A	7B	7B	22	17	301
Brixworth	15	3B	3B	3B	ABOLISHED 1974	ABOLISHED 1974	670
Bromley	5	2A	5B	5B	11	11	222
Bromsgrove	18	6C	9D	9D	29	33	512
Bromyard	26	6A	9A	9A	29	33	513
Broxbourne	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	10	34	529
Buckingham	6	3A	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	324
Bucklow	CREATED 1898	8A	10A	10A	ABOLISHED 1974	ABOLISHED 1974	15
Buckrose	CREATED 1937	9D	2A	2A	ABOLISHED 1974	ABOLISHED 1974	*10*
Builth	26	11B	8A	8A	26	58	867
Bullingdon	CREATED 1964	CREATED 1964	6B	6B	20	44	703
Bulmer (Thirsk/York)	CREATED 1936	9D	1B	1B	ABOLISHED 1974	ABOLISHED 1974	650
Buntingford	6	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	528
Burnley	21	8E	10B	10B	ABOLISHED 1974	ABOLISHED 1974	582
Burnley (& Pendle)	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	40	37	582
Burton-on-Trent	17	6B	9B	9B	17	47	731
Bury	21	8C	10B	10B	38	1	3
Bury St Edmunds	13	4A	4B	4B	10	48	742
Caerleon	CREATED 1936	11A	8C	8C	ABOLISHED 1974	ABOLISHED 1974	836
Caernarfon (Caernarvon)	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	25	56	842
Caernarvon	CREATED 1937	11B	8A	8A	ABOLISHED 1974	ABOLISHED 1974	842
Caerphilly	CREATED 1996	CREATED 1996	CREATED 1996	CREATED 1996	CREATED 1996	57	863
Caistor (now Lincolnshire)	14	7A	3B	3B	7	39	612
Calder	CREATED 1938	9A	2B	2B	ABOLISHED 1974	ABOLISHED 1974	*11*
Calderdale	22	9A	2B	2B	4	9	86
Calne	8	5A	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	788
Camberwell	4	1D	5C	5C	11	ABOLISHED 1991	*12*
Cambourne-Redruth	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	21	23	355
Cambridge(shire)	14	3B	4A	4A	9	20	331
Camden	CREATED 1977	CREATED 1977	CREATED 1977	CREATED 1977	14	16	250
Camelford	9	5C	7A	7A	21	21	354
Cannock (Chase)	CREATED 1877	6B	9B	9B	30	47	730
Canterbury (with Swale)(Kent)	5	2A	5B	5F	16	36	560
Cardiff (74-96 South Glamorgan)	26	11A	8B	8B	ABOLISHED 1974	29	890
Cardigan	27	11B	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	890
Cardiganshire (North, South & Central)	CREATED 1936	11B	8A	8A	24	54	890
Carlisle	25	10B	1A	1A	1	24	375
Carmarthen	26	11A	8A	8A	24	54	818
Carnarvon	27	11B	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	842
Castle Point & Rochford	CREATED 1999	CREATED 1999	CREATED 1999	CREATED 1999	CREATED 1999	CREATED 1999	467
Castle Ward	25	10B	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	*13*
Castleford	CREATED 1862	9C	ABOLISHED 1868	ABOLISHED 1868	ABOLISHED 1868	ABOLISHED 1868	98
Catherington	8	2C	ABOLISHED 1932	ABOLISHED 1932	ABOLISHED 1932	ABOLISHED 1932	496
Caxton	14	3B	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	331
Central Cleveland	CREATED 1974	CREATED 1974	CREATED 1974	CREATED 1974	3	22	*15
Cerne	8	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	433
Chailey	7	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	ABOLISHED 1838	459
Chanctonbury	CREATED 1935	2B	5H	5H	ABOLISHED 1974	ABOLISHED 1974	786
Chapel-en-le-Frith	19	7B	10A	10A	ABOLISHED 1974	ABOLISHED 1974	395
Chard	10	5C	7C	7C	ABOLISHED 1974	ABOLISHED 1974	726
Chatham (Medway)	CREATED 1941	2A	5B	5F	16	16	561
Cheadle	17	6B	9B	9B	ABOLISHED 1974	ABOLISHED 1974	736
Chelmsford	12	4A	4A	4A	9	30	468
Chelsea (1981 Kensington & _)	3	1A	5C	5C	11	14	239
Cheltenham	11	6A	7B	7B	22	31	479
Chepstow	26	11A	8C	8C	ABOLISHED 1968	ABOLISHED 1968	839
Chertsey	4	2A	ABOLISHED 1934	ABOLISHED 1934	ABOLISHED 1934	ABOLISHED 1934	757
Cheshire	CREATED 1998	CREATED 1998	CREATED 1998	CREATED 1998	CREATED 1998	CREATED 1998	341
Chester (& Ellesmere Port)	CREATED 1870	8A	10A	10A	35	21	340
Chesterfield	19	7B	3A	3A	6	25	393
Chester-le-Street	24	10A	ABOLISHED 1938	ABOLISHED 1938	ABOLISHED 1938	ABOLISHED 1938	440
Chesterton	14	3B	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	333
Chichester	7	2B	5H	5H	18	51	779
Chiltern & Beaconsfield	CREATED1974	CREATED1974	CREATED1974	CREATED1974	19	ABOLISHED 1988	327
Chiltern & South Bucks	CREATED1988	CREATED1988	CREATED1988	CREATED1988	19	19	19
Chiltern Hills	CREATED1988	CREATED1988	CREATED1988	CREATED1988	19	19	19
Chippenham	8	5A	7C	7C	23	52	788
Chipping Norton	16	3A	6B	6B	20	ABOLISHED 1982	695
Chipping Sodbury	11	6A	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	ABOLISHED 1937	304
Chorley	21	8E	10C	10C	40	37	583
Chorlton	20	8C	ABOLISHED 1925	ABOLISHED 1925	ABOLISHED 1925	ABOLISHED 1925	6
Christchurch (Bournemouth)	7	2B	6B	6B	ABOLISHED 1974	ABOLISHED 1974	761
Church Stretton	18	6A	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	712
Cirencester	11	6A	7B	7B	22	31	480
City of London	2	1C	ABOLISHED 1870	ABOLISHED 1870	ABOLISHED 1870	ABOLISHED 1870	243
City of Westminster	CREATED 1933	1A	5C	ABOLISHED 1965	ABOLISHED 1965	ABOLISHED 1965	258
Claro (North Yorkshire)	CREATED 1947	9A	2C	2C	2	2	650
Claydon (Bosmere & _)	12	4A	4B	4B	10	48	745
Cleethorpes	CREATED 1934	7A	3B	3B	ABOLISHED 1974	ABOLISHED 1974	*14*
Cleobury Mortimer	18	6A	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	ABOLISHED 1935	712
Clerkenwell (orig St James Clerkenwell)	3	1B	ABOLISHED 1869	ABOLISHED 1869	ABOLISHED 1869	ABOLISHED 1869	238
Cleveland	CREATED 1936	9D	1B	1B	ABOLISHED 1974	ABOLISHED 1974	*15*
Clifton	11	6A	ABOLISHED 1877	ABOLISHED 1877	ABOLISHED 1877	ABOLISHED 1877	301
Clitheroe	21	8E	10C	10C	ABOLISHED 1974	ABOLISHED 1974	389
Clun	18	6A	9A	9A	30	45	711
Clutton	11	5C	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	ABOLISHED 1936	300
Coalville	CREATED 1949	CREATED 1949	3A	3A	6	38	605
Cockermouth (Cumbria)	25	10B	1A	1A	1	24	376
Colchester	12	4A	4A	4A	9	30	469
