name	gro-1997
Bolton	2
Bury	3
Manchester	6
Oldham	7
Rochdale	9
Salford	11
Stockport	13
Tameside	14
Trafford	15
Tameside	16
Trafford	17
Wigan and Leigh	18
Chiltern Hills	19
Knowsley	23
Liverpool	25
Vale of Glamorgan	28
St Helens	30
Sefton	32
Sefton	34
Sefton	35
Wirral	37
Blackburn	40
Barnsley	41
Doncaster	42
Rotherham	45
Sheffield	48
Gateshead	51
Newcastle Upon Tyne	53
North Tyneside	54
South Tyneside	57
Sunderland	58
Birmingham	61
Coventry	63
Dudley	65
Dudley	66
Sandwell	70
Solihull	73
Walsall	75
Wolverhampton	77
Bradford and Keighley	81
Bradford and Keighley	82
Bradford and Keighley	83
Calderdale	86
Kirklees	88
Kirklees	89
Leeds	92
Wakefield	98
Wakefield	99
Barking and Dagenham	218
Barnet	219
Bexley	220
Brent	221
Bromley	222
Croydon	225
Ealing	226
Enfield	227
Hammersmith and Fulham	228
Greenwich	229
Hackney	230
Hammersmith and Fulham	232
Harringey	233
Havering	234
Hillingdon	236
Hounslow	237
Islington	238
Kensington and Chelsea	239
Kingston Upon Thames	240
Lambeth	241
Lewisham	242
London City	243
Merton	244
Tower Hamlets	246
Redbridge	247
Richmond Upon Thames	248
Camden	250
Southwark	251
Sutton	254
Waltham Forest	255
Wandsworth	256
Newham	257
Westminster	258
Bath and North East Somerset	300
Bristol	301
South Gloucestershire	304
North Somerset	307
Bedforsdshire	309
Luton	315
Bracknell Forest	318
West Berkshire	319
Reading	320
Slough	321
Windsor and Maidenhead	322
Wokingham	323
Buckinghamshire	324
Milton Keynes	326
Buckinghamshire	327
Cambridgeshire	331
Cambridgeshire	332
Cambridgeshire	333
Peterborough	335
Cambridgeshire	338
Cambridgeshire	339
Cheshire	340
Cheshire	341
Cheshire East	342
Halton	343
Cheshire West and Chester	344
Warrington	346
Middlesbrough	348
Redcar and Cleveland	349
Stockton-On-Tees	350
Hartlepool	351
Cornwall	354
Cornwall	355
Cornwall	359
Isles Of Scilly	360
Cornwall	361
Cornwall	362
Cornwall	363
Cornwall	365
Cornwall	367
Cornwall	368
Cornwall	369
Cornwall	370
Cumbria	373
Cumbria	375
Cumbria	376
Cumbria	377
Cumbria	379
Cumbria	380
Cumbria	382
Cumbria	385
Cumbria	386
Ribble Valley	389
Derbyshire	390
Derbyshire	391
Derbyshire	392
Derbyshire	393
Derby	394
Derbyshire	395
Derbyshire	396
Derbyshire	397
Derbyshire	398
Devon	404
Devon	405
Devon	408
Devon	410
Devon	413
Plymouth	416
