registration-district	name
218	BARKING & DAGENHAM
219	BARNET
41	BARNSLEY
685	BASFORD
686	BASSETLAW
300	BATH & NE SOMERSET
316	BEDFORD
220	BEXLEY
61	BIRMINGHAM
580	BLACKBURN/DARWIN
581	BLACKPOOL
833	BLAENAEU GWENT
2	BOLTON
427	BOURNEMOUTH
318	BRACKNELL FOREST
83	BRADFORD
221	BRENT
861	BRIDGEND
452	BRIGHTON&HOVE
301	BRISTOL
222	BROMLEY
328	BUCKINGHAMSHIRE
3	BURY
863	CAERPHILLY
86	CALDERDALE
339	CAMBRIDGESHIRE
250	CAMDEN
890	CARDIFF
822	CARMARTHENSHIRE
317	CENTRAL BEDFORDSHIRE
823	CEREDIGION
342	CHESHIRE EAST
345	CHESHIRE WEST
846	CONWY
371	CORNWALL
442	COUNTY OF DURHAM
63	COVENTRY
225	CROYDON
387	CUMBRIA
436	DARLINGTON
811	DENBIGHSHIRE NORTH
805	DENBIGHSHIRE SOUTH
394	DERBY
398	DERBYSHIRE
423	DEVON
42	DONCASTER
429	DORSET
65	DUDLEY
226	EALING
462	EAST SUSSEX
227	ENFIELD
541	E-RIDING OF YORKSHIRE
463	ESSEX
804	FLINTSHIRE
51	GATESHEAD
488	GLOUCESTERSHIRE
229	GREENWICH
855	GWYNEDD
230	HACKNEY
343	HALTON
260	HAMMERSMITH & FULHAM
504	HAMPSHIRE
233	HARINGEY
232	HARROW
351	HARTLEPOOL
234	HAVERING
511	HEREFORDSHIRE
538	HERTFORDSHIRE
236	HILLINGDON
237	HOUNSLOW
550	HULL
556	ISLE OF WIGHT
360	ISLES OF SCILLY
238	ISLINGTON
239	KENSINGTON & CHELSEA
564	KENT
240	KINGSTON UPON THAMES
90	KIRKLEES
23	KNOWSLEY
241	LAMBETH
591	LANCASHIRE
92	LEEDS
600	LEICESTER
605	LEICESTERSHIRE
242	LEWISHAM
609	LINCOLNSHIRE
25	LIVERPOOL
243	LONDON CITY
315	LUTON
6	MANCHESTER
687	MANSFIELD
561	MEDWAY
860	MERTHYR TYDFIL
244	MERTON
348	MIDDLESBROUGH
326	MILTON KEYNES
839	MONMOUTHSHIRE
896	NEATH PORT TALBOT
688	NEWARK
53	NEWCASTLE UPON TYNE
257	NEWHAM
836	NEWPORT/CASNEWYDD
642	NORFOLK
548	NORTH EAST LINCOLNSHIRE
554	NORTH LINCOLNSHIRE
307	NORTH SOMERSET
54	NORTH TYNESIDE
650	NORTH YORKSHIRE
674	NORTHAMPTONSHIRE
681	NORTHUMBERLAND
689	NOTTINGHAM
692	NOTTINGHAMSHIRE
7	OLDHAM
695	OXFORDSHIRE
819	PEMBROKESHIRE
335	PETERBOROUGH
416	PLYMOUTH
431	POOLE
497	PORTSMOUTH
882	POWYS
320	READING
247	REDBRIDGE
349	REDCAR & CLEVELAND
864	RHONDDA CYNON TAF
248	RICHMOND UPON THAMES
9	ROCHDALE
45	ROTHERHAM
690	RUSHCLIFFE
604	RUTLAND
11	SALFORD
70	SANDWELL
35	SEFTON
48	SHEFFIELD
717	SHROPSHIRE
321	SLOUGH
73	SOLIHULL 
722	SOMERSET
304	SOUTH GLOUCESTER
57	SOUTH TYNESIDE
500	SOUTHAMPTON
475	SOUTHEND ON SEA
251	SOUTHWARK
30	ST HELENS
738	STAFFORDSHIRE 
13	STOCKPORT
350	STOCKTON ON TEES
737	STOKE ON TRENT
748	SUFFOLK
58	SUNDERLAND
759	SURREY
254	SUTTON
897	SWANSEA
796	SWINDON
14	TAMESIDE
716	TELFORD & WREKIN
477	THURROCK
422	TORBAY
837	TORFAEN
246	TOWER HAMLETS
15	TRAFFORD
891	VALE OF GLAMORGAN
97	WAKEFIELD
75	WALSALL
255	WALTHAM FOREST
256	WANDSWORTH
346	WARRINGTON
776	WARWICKSHIRE
319	WEST BERKSHIRE
785	WEST SUSSEX
258	WESTMINSTER
18	WIGAN & LEIGH
799	WILTSHIRE
322	WINDSOR & MAIDENHEAD
37	WIRRAL
323	WOKINGHAM
77	WOLVERHAMPTON
527	WORCESTERSHIRE
813	WREXHAM
857	YNYS MON
661	YORK
