abolished	names
*0*	Not known where records kept (district abolished before 1929)
*54*	North Tyneside
*1*	Colwyn;Dyffryn and Conwy
*55*	Bridgend;Pontypridd;South Glamorgan
*2*	Gosport
*56*	Stourbridge;Sandwell
*3*	Flintshire East
*57*	Deben;Gipping;Hartismere
*4*	Preston;South Ribble
*58*	Mid Powys
*5*	Ynys Mon
*59*	Braintree;Bury St. Edmunds
*6*	Oldham;Tameside
*60*	Richmond
*7*	Ashton
*61*	Barking;Havering;Redbridge
*8*	Carlisle
*62*	Ashford
*9*	Deben;Gipping & Hartismere;Ipswich
*63*	Rotherham
*10*	Ryedale;Scarborough;Bridlington
*64*	Norwich
*11*	Halifax;Bradford
*65*	Westminster
*12*	Southwark
*66*	Southwark
*13*	Northumberland South;Northumberland Central
*67*	Islington
*14*	Grimsby
*68*	Kensington & Chelsea
*15*	Northallerton;Redcar & Cleveland
*69*	Hackney
*16*	Dyffryn Conwy
*70*	Ipswich
*17*	Bury St. Edmunds;Sudbury
*71*	North Lincolnshire
*18*	Exeter;Honiton;Tiverton
*72*	Cardiff;Vale of Glamorgan
*19*	Merioneth North;Merioneth South
*73*	Dewsbury;Leeds
*20*	Doncaster;Barnsley
*74*	Cleveland;Durham Northern;Durham Western
*21*	Uttlesford
*75*	Bury St. Edmunds;Gipping & Hartismere
*22*	Cleveland North;Cleveland Central;Durham Northern;Durham Western
*76*	Merton;Sutton
*23*	Gateshead;Jarrow;South Shields
*77*	Huddersfield
*24*	Durham Northern;Gateshead
*78*	Durham Western
*25*	Merthyr Tydfil;Pontypridd;South Glamorgan
*79*	Bridgnorth
*26*	Worthing
*80*	Chester;Ellesmere Port
*27*	Plymouth
*81*	Pontypridd;Neath;Swansea
*28*	Bracknell
*82*	Chichester
*29*	Penrith;Kendal
*83*	Penrith;Kendal
*30*	Chesterfield;Sheffield
*84*	Rushcliffe
*31*	Redbridge;Waltham Forest
*85*	Flintshire
*32*	North Yorkshire
*86*	Penrith
*33*	King's Lynn
*87*	Bristol;Chipping Sodbury;Thornbury
*34*	Scunthorpe
*88*	West Surrey
*35*	Northumberland North First
*89*	Mid Surrey
*36*	Denbighshire South
*90*	North Surrey;Kingston-upon-Thames;Richmond-upon-Thames
*37*	North East Lincolnshire
*91*	West Surrey;South-East Surrey
*38*	Norwich;Great Yarmouth
*92*	North Surrey
*39*	Colwyn;Glyndwr;Dyffryn and Conwy
*93*	Barnsley;Hemsworth;Wortley;Wakefield;Sheffield
*40*	Carmarthen
*94*	Denbighshire
*41*	Wakefield;Leeds
*95*	Bexley;Bromley
*42*	Tunbridge Wells;Gravesend;Maidstone
*96*	Salisbury
*43*	Merioneth East: Penllyn. Merioneth North: Ardudwy. Merioneth South: De Meirionnwydd
*97*	Blyth,Lothingland and Wainford
*44*	Hounslow;Richmond-upon-Thames;Surrey Northern
*98*	Millom and Whitehaven
*45*	East Dereham
*99*	Tadcaster and Wetherby
*46*	Northumberland Central
*100*	London City
*47*	South Cheshire;Chester & Ellesmere Port
*101*	Depwade;Wayland;Thetford
*48*	Cannock Chase;Wrekin
*102*	Strood
*49*	Bradford;Wharfedale;Leeds;Dewsbury
*103*	Originally Foleshill & Sowe .Sowe Later a sub-district of Foleshill
*50*	Milton Keynes
*104*	Devonport
*51*	Hartlepool
*105*	Burt St Edmunds
*52*	Macclesfield;Stockport
*106*	London City
*53*	Fenland;March
*107*	Barton Upon Irwell
