gss	registration-district	name	registration-district-name
E28000086	328	Buckinghamshire	Buckinghamshire
E28000088	339	Cambridgeshire	Cambridgeshire
E28000117	423	Devon	Devon
E28000119	429	Dorset	Dorset
E28000124	462	East Sussex	East Sussex
E28000135	488	Gloucestershire	Gloucestershire
E28000138	504	Hampshire	Hampshire
E28000140	527	Worcestershire	Worcestershire
E28000141	538	Hertfordshire	Hertfordshire
E28000148	564	Kent	Kent
E28000151	591	Lancashire	Lancashire
E28000154	605	Leicestershire	Leicestershire
E28000155	609	Lincolnshire	Lincolnshire
E28000165	650	North Yorkshire	North Yorkshire
E28000181	695	Oxfordshire	Oxfordshire
E28000184	722	Somerset	Somerset
E28000186	738	Staffordshire	Staffordshire
E28000193	759	Surrey	Surrey
E28000209	776	Warwickshire	Warwickshire
E28000210	463	Essex	Essex
E28000211	785	West Sussex	West Sussex
E28000212	674	Northamptonshire	Northamptonshire
E28000213	748	Suffolk	Suffolk
E28000214	642	Norfolk	Norfolk
E28000216	387	Cumbria	Cumbria
E28000217	692	Nottinghamshire	Nottinghamshire
E28000219	398	Derbyshire	Derbyshire
