gss	registration-district	name
E28000001	2	Bolton
E28000002	3	Bury
E28000003	6	Manchester
E28000004	7	Oldham
E28000005	9	Rochdale
E28000006	11	Salford
E28000007	13	Stockport
E28000008	14	Tameside
E28000009	15	Trafford
E28000010	18	Wigan and Leigh
E28000011	23	Knowsley
E28000012	25	Liverpool
E28000013	30	St. Helens
E28000016	37	Wirral
E28000017	41	Barnsley
E28000018	42	Doncaster
E28000019	45	Rotherham
E28000020	48	Sheffield
E28000021	51	Gateshead
E28000022	53	Newcastle upon Tyne
E28000023	54	North Tyneside
E28000024	57	South Tyneside
E28000025	58	Sunderland
E28000026	61	Birmingham
E28000027	63	Coventry
E28000028	65	Dudley
E28000029	70	Sandwell
E28000030	73	Solihull
E28000031	75	Walsall
E28000032	77	Wolverhampton
E28000033	83	Bradford and Keighley
E28000034	86	Calderdale
E28000037	92	Leeds
E28000040	218	Barking and Dagenham
E28000041	219	Barnet
E28000042	220	Bexley
E28000043	221	Brent
E28000044	222	Bromley
E28000045	225	Croydon
E28000046	226	Ealing
E28000047	227	Enfield
E28000048	229	Greenwich
E28000049	230	Hackney
E28000050	232	Harrow
E28000051	233	Haringey
E28000052	234	Havering
E28000053	236	Hillingdon
E28000054	237	Hounslow
E28000055	238	Islington
E28000056	239	Kensington and Chelsea
E28000057	240	Kingston upon Thames
E28000058	241	Lambeth
E28000059	242	Lewisham
E28000060	243	London City
E28000061	244	Merton
E28000062	246	Tower Hamlets
E28000063	247	Redbridge
E28000064	248	Richmond upon Thames
E28000065	250	Camden
E28000066	251	Southwark
E28000067	254	Sutton
E28000068	255	Waltham Forest
E28000069	256	Wandsworth
E28000070	257	Newham
E28000071	258	Westminster
E28000072	260	Hammersmith and Fulham
E28000073	300	Bath and North East Somerset
E28000074	301	Bristol
E28000075	304	South Gloucestershire
E28000076	307	North Somerset
E28000078	315	Luton
E28000079	318	Bracknell Forest
E28000080	319	West Berkshire
E28000081	320	Reading
E28000082	321	Slough
E28000083	322	Windsor and Maidenhead
E28000084	323	Wokingham
E28000085	326	Milton Keynes
E28000087	335	Peterborough
E28000089	343	Halton
E28000090	346	Warrington
E28000092	348	Middlesbrough
E28000093	349	Redcar and Cleveland
E28000094	350	Stockton-on-Tees
E28000095	351	Hartlepool
E28000096	360	Isles of Scilly
E28000097	371	Cornwall
E28000111	394	Derby
E28000115	416	Plymouth
E28000116	422	Torbay
E28000118	427	Bournemouth
E28000120	431	Poole
E28000121	436	Darlington
E28000122	442	County of Durham
E28000123	452	Brighton and Hove
E28000132	475	Southend-on-Sea
E28000133	477	Thurrock
E28000136	497	Portsmouth
E28000137	500	Southampton
E28000139	511	Herefordshire
E28000142	541	East Riding of Yorkshire
E28000143	548	North-East Lincolnshire
E28000144	550	Hull
E28000145	554	North Lincolnshire
E28000146	556	Isle of Wight
E28000147	561	Medway
E28000149	580	Blackburn with Darwen
E28000150	581	Blackpool
E28000152	600	Leicester
E28000153	604	Rutland
E28000166	661	York
E28000174	681	Northumberland
E28000179	689	Nottingham
E28000182	716	Telford and Wrekin
E28000183	717	Shropshire
E28000185	737	Stoke-on-Trent
E28000202	796	Swindon
E28000203	799	Wiltshire
E28000204	316	Bedford
E28000205	317	Central Bedfordshire
E28000206	342	Cheshire East
E28000207	345	Cheshire West and Chester
E28000208	97	Wakefield
E28000215	35	Sefton
E28000218	90	Kirklees
W20000001	804	Flintshire/Sir Y Fflint
W20000002	805	Denbighshire South/De Sir Ddinbych
W20000003	811	Denbighshire North/Gogledd Sir Ddinbych
W20000004	813	Wrexham
W20000008	819	Pembrokeshire
W20000009	822	Carmarthenshire/Sir Gaerfyrddin
W20000010	833	Blaenau Gwent
W20000011	836	Newport
W20000012	837	Torfaen
W20000013	839	Monmouthshire/Sir Fynwy
W20000018	846	Conwy
W20000021	857	Ynys Mon (Isle of Anglesey)
W20000022	860	Merthyr Tydfil/Merthyr Tudful
W20000023	861	Bridgend
W20000024	863	Caerphilly
W20000025	864	Rhondda Cynon Taf
W20000034	890	Cardiff/Caerdydd
W20000035	891	Vale of Glamorgan/Bro Morgannwg
W20000036	896	Neath Port Talbot
W20000037	897	Swansea
W20000038	882	Powys
W20000039	855	Gwynedd
W20000040	823	Ceredigion
E28000086	328	Buckinghamshire
E28000088	339	Cambridgeshire
E28000117	423	Devon
E28000119	429	Dorset
E28000124	462	East Sussex
E28000135	488	Gloucestershire
E28000138	504	Hampshire
E28000140	527	Worcestershire
E28000141	538	Hertfordshire
E28000148	564	Kent
E28000151	591	Lancashire
E28000154	605	Leicestershire
E28000155	609	Lincolnshire
E28000165	650	North Yorkshire
E28000181	695	Oxfordshire
E28000184	722	Somerset
E28000186	738	Staffordshire
E28000193	759	Surrey
E28000209	776	Warwickshire
E28000210	463	Essex
E28000211	785	West Sussex
E28000212	674	Northamptonshire
E28000213	748	Suffolk
E28000214	642	Norfolk
E28000216	387	Cumbria
E28000217	692	Nottinghamshire
E28000219	398	Derbyshire
